Attractor, Associated Cell Fate,Probability,cln3,mbf,sbf,cln12,cdh1,swi5,cdc20,clb56,sic1,clb12,mcm1
202,Uncharacterized,2.43E-07,0,0,1,0,0,1,1,0,0,1,0
203,Uncharacterized,2.40E-07,1,1,0,0,0,1,1,1,0,1,1
204,Uncharacterized,2.40E-07,0,1,0,0,0,0,1,1,0,0,1
205,Uncharacterized,2.40E-07,1,1,0,0,0,0,0,1,0,0,1
206,Uncharacterized,2.38E-07,0,1,0,0,0,1,1,0,1,0,1
207,Uncharacterized,2.22E-07,0,1,0,0,0,1,0,1,0,1,1
208,Uncharacterized,2.21E-07,0,0,0,1,0,0,1,0,0,0,0
209,Uncharacterized,2.20E-07,0,1,0,0,0,0,0,1,0,1,0
210,Uncharacterized,2.18E-07,0,0,0,1,0,0,0,1,0,1,1
211,Uncharacterized,2.16E-07,0,0,1,0,0,0,0,1,0,1,1
212,Uncharacterized,2.16E-07,0,0,1,0,0,0,0,1,0,0,0
213,Uncharacterized,2.16E-07,0,0,0,1,0,0,0,1,0,0,0
214,Uncharacterized,2.16E-07,0,0,1,0,0,0,1,0,0,0,0
215,Uncharacterized,2.16E-07,1,0,1,0,0,0,0,0,0,0,0
216,Uncharacterized,2.15E-07,1,0,0,1,0,0,0,0,0,0,0
217,Uncharacterized,2.14E-07,0,0,1,0,0,0,0,0,0,1,0
218,Uncharacterized,2.14E-07,0,0,0,1,0,0,0,0,0,1,0
219,Uncharacterized,2.12E-07,0,1,0,0,0,1,0,0,0,0,0
220,Uncharacterized,2.11E-07,0,1,0,0,0,0,1,0,0,0,0
221,Uncharacterized,2.11E-07,1,1,0,0,0,0,0,0,0,0,0
222,Uncharacterized,2.11E-07,0,0,0,0,0,1,0,0,0,0,1
223,Uncharacterized,2.11E-07,1,1,0,0,0,0,0,1,0,1,1
224,Uncharacterized,2.10E-07,0,1,0,0,0,1,0,1,0,0,0
225,Uncharacterized,2.10E-07,0,1,0,0,0,0,1,1,0,0,0
226,Uncharacterized,2.10E-07,1,1,0,0,0,0,0,1,0,0,0
227,Uncharacterized,2.00E-07,0,1,0,1,1,0,0,1,0,0,0
228,Uncharacterized,1.99E-07,0,0,0,0,0,1,0,0,1,0,1
229,Uncharacterized,1.92E-07,0,0,0,0,0,0,0,0,0,1,1
230,Uncharacterized,1.89E-07,0,0,0,0,0,1,1,1,0,1,0
231,Uncharacterized,1.88E-07,0,1,1,0,1,0,0,1,1,0,0
232,Uncharacterized,1.78E-07,0,0,0,0,1,1,1,0,0,1,0
233,Uncharacterized,1.51E-07,0,1,0,0,1,0,0,1,0,0,1
234,Uncharacterized,1.46E-07,0,1,0,0,1,1,0,0,0,0,0
235,Uncharacterized,1.42E-07,0,1,0,1,1,0,0,0,0,0,0
236,Uncharacterized,1.42E-07,0,1,0,0,1,1,1,0,0,0,0
237,Uncharacterized,1.41E-07,0,1,0,0,1,0,1,0,0,0,0
238,Uncharacterized,1.41E-07,0,1,0,0,1,0,0,0,0,0,1
239,Uncharacterized,1.41E-07,1,1,0,0,1,0,0,0,0,0,0
240,Uncharacterized,1.40E-07,0,1,0,0,1,1,1,1,0,0,0
241,Uncharacterized,1.40E-07,0,1,0,0,1,1,0,1,0,0,0
242,Uncharacterized,1.40E-07,0,1,0,0,1,0,1,1,0,0,0
243,Uncharacterized,1.40E-07,1,1,0,0,1,0,0,1,0,0,0
244,Uncharacterized,1.40E-07,0,1,0,0,1,1,0,1,1,0,1
245,Uncharacterized,1.40E-07,0,1,0,0,1,1,0,1,0,0,1
246,Uncharacterized,1.39E-07,0,1,0,0,0,0,0,1,1,0,1
247,Uncharacterized,1.38E-07,0,1,0,0,0,1,1,1,1,0,1
248,Uncharacterized,1.37E-07,0,0,0,0,1,1,1,0,1,1,0
249,Uncharacterized,1.35E-07,0,1,1,1,0,1,1,0,1,0,0
250,Uncharacterized,1.34E-07,0,0,1,1,0,1,0,0,0,1,0
251,Uncharacterized,1.32E-07,0,1,1,1,0,0,1,0,1,0,0
252,Uncharacterized,1.32E-07,0,1,1,1,0,0,0,0,1,0,1
253,Uncharacterized,1.32E-07,1,1,1,1,0,0,0,0,1,0,0
254,Uncharacterized,1.30E-07,0,0,1,1,0,0,0,1,0,1,0
255,Uncharacterized,1.30E-07,0,0,1,1,0,1,0,1,0,0,0
256,Uncharacterized,1.29E-07,0,0,1,1,0,0,1,0,0,1,1
257,Uncharacterized,1.29E-07,0,0,1,1,0,0,1,0,0,1,0
258,Uncharacterized,1.28E-07,0,1,1,0,0,1,1,0,1,0,0
259,Uncharacterized,1.26E-07,0,1,1,0,0,1,0,0,1,0,0
260,Uncharacterized,1.26E-07,0,0,1,1,0,1,1,1,0,1,0
