Attractor, Associated Cell Fate,Probability,cln3,mbf,sbf,cln12,cdh1,swi5,cdc20,clb56,sic1,clb12,mcm1
145,Uncharacterized,2.02E-07,0,0,0,1,0,0,1,0,0,0,0
146,Uncharacterized,0.000115072,0,0,0,1,0,0,1,0,0,0,1
147,Uncharacterized,5.64E-09,0,0,0,1,0,0,1,0,0,1,0
148,Uncharacterized,0.000114859,0,0,0,1,0,0,1,0,0,1,1
149,Uncharacterized,7.79E-08,0,0,0,1,0,0,1,0,1,0,0
150,Uncharacterized,5.73E-07,0,0,0,1,0,0,1,0,1,0,1
151,Uncharacterized,6.15E-12,0,0,0,1,0,0,1,0,1,1,0
152,Uncharacterized,2.32E-09,0,0,0,1,0,0,1,0,1,1,1
153,Uncharacterized,1.98E-10,0,0,0,1,0,0,1,1,0,0,0
154,Uncharacterized,1.02E-08,0,0,0,1,0,0,1,1,0,0,1
155,Uncharacterized,5.64E-08,0,0,0,1,0,0,1,1,0,1,0
156,M phase,0.001243109,0,0,0,1,0,0,1,1,0,1,1
157,Uncharacterized,3.72E-12,0,0,0,1,0,0,1,1,1,0,0
158,Uncharacterized,1.32E-10,0,0,0,1,0,0,1,1,1,0,1
159,Uncharacterized,9.95E-16,0,0,0,1,0,0,1,1,1,1,0
160,Uncharacterized,6.62E-11,0,0,0,1,0,0,1,1,1,1,1
161,Uncharacterized,3.11E-07,0,0,0,1,0,1,0,0,0,0,0
162,Uncharacterized,5.43E-10,0,0,0,1,0,1,0,0,0,0,1
163,Uncharacterized,2.12E-10,0,0,0,1,0,1,0,0,0,1,0
164,Uncharacterized,8.14E-11,0,0,0,1,0,1,0,0,0,1,1
165,Uncharacterized,7.92E-08,0,0,0,1,0,1,0,0,1,0,0
166,Uncharacterized,1.90E-10,0,0,0,1,0,1,0,0,1,0,1
167,Uncharacterized,3.76E-12,0,0,0,1,0,1,0,0,1,1,0
168,Uncharacterized,9.85E-11,0,0,0,1,0,1,0,0,1,1,1
169,Uncharacterized,2.03E-10,0,0,0,1,0,1,0,1,0,0,0
170,Uncharacterized,5.98E-11,0,0,0,1,0,1,0,1,0,0,1
171,Uncharacterized,3.55E-13,0,0,0,1,0,1,0,1,0,1,0
172,Uncharacterized,3.17E-09,0,0,0,1,0,1,0,1,0,1,1
173,Uncharacterized,3.68E-12,0,0,0,1,0,1,0,1,1,0,0
174,Uncharacterized,7.75E-15,0,0,0,1,0,1,0,1,1,0,1
175,Uncharacterized,2.80E-16,0,0,0,1,0,1,0,1,1,1,0
176,Uncharacterized,1.75E-13,0,0,0,1,0,1,0,1,1,1,1
177,Uncharacterized,6.49E-09,0,0,0,1,0,1,1,0,0,0,0
178,Uncharacterized,5.76E-09,0,0,0,1,0,1,1,0,0,0,1
179,Uncharacterized,2.26E-07,0,0,0,1,0,1,1,0,0,1,0
180,Uncharacterized,1.78E-06,0,0,0,1,0,1,1,0,0,1,1
181,Uncharacterized,8.06E-08,0,0,0,1,0,1,1,0,1,0,0
182,Uncharacterized,2.16E-06,0,0,0,1,0,1,1,0,1,0,1
183,Uncharacterized,2.56E-09,0,0,0,1,0,1,1,0,1,1,0
184,Uncharacterized,2.17E-06,0,0,0,1,0,1,1,0,1,1,1
185,Uncharacterized,7.49E-13,0,0,0,1,0,1,1,1,0,0,0
186,Uncharacterized,2.97E-09,0,0,0,1,0,1,1,1,0,0,1
187,Uncharacterized,3.31E-09,0,0,0,1,0,1,1,1,0,1,0
188,Uncharacterized,6.68E-05,0,0,0,1,0,1,1,1,0,1,1
189,Uncharacterized,3.56E-12,0,0,0,1,0,1,1,1,1,0,0
190,Uncharacterized,4.20E-13,0,0,0,1,0,1,1,1,1,0,1
191,Uncharacterized,5.82E-13,0,0,0,1,0,1,1,1,1,1,0
192,Uncharacterized,3.76E-09,0,0,0,1,0,1,1,1,1,1,1
193,Uncharacterized,5.84E-05,0,0,0,1,1,0,0,0,0,0,0
194,Uncharacterized,5.84E-08,0,0,0,1,1,0,0,0,0,0,1
